Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / International,Price / International,Compare At Price / International,Included / United States,Price / United States,Compare At Price / United States,Status
rainier-snap-kickstand-case-iphone-17e-16e-15-14-13-black,"Rainier Snap Kickstand Case | iPhone 17e/16e/15/14/13, Black","Rainier Snap Kickstand Case | iPhone 17e/16e/15/14/13 ： Ultimate, Rugged, Dual-layer, Magnetic Case
Rainier is extreme protection with a kickstand and magnetic ring compatible with wireless chargers and magnetic accessories. Protect your new iPhone from drops up to 22 feet. The 2-piece design has got you covered with a snap-on frame. Now you're ready for anything.


The rugged Rainier has been tested and proven to protect your phone from drops up to 22 feet (7 meters).1
Strengthened with Graphene. Graphene is harder than a diamond, yet more elastic than rubber, and up to 200X stronger than steel.2
Rainier is made with multiple layers of protection including a frame that snaps to the front of the case.
Rainier has impact-absorbing corner bumpers to defend the most vulnerable parts of your case.
The integrated kickstand holds your iPhone securely in landscape and portrait mode so you can exercise, cook, video chat and more, hands-free.
The magnetic Rainier case is MagSafe-compatible and works with wireless chargers and magnetic accessories.
Attach a lanyard to the Rainier case to keep your phone close at-hand.
The camera button on the Rainier case is fully functional, so you get complete protection and camera control.
Rainier is made with up to 80% recycled content.3

1 Mil Std 810H 516. 2 See ZAGG.com/grapheneFAQ for more details. 3 Recycled material content is verified by an independent third party.",ZAGG,,,,,TRUE,Title,Default Title,,,,,,702320258,,shopify,,deny,manual,89.95,,TRUE,TRUE,,https://cdn11.bigcommerce.com/s-nq9mltqqlu/images/stencil/1280x1280/products/9003/15881/2__46533.1772676637.png?c=1,1,"Rainier Snap Kickstand Case | iPhone 17e/16e/15/14/13, Black",,,,,,,,,,,,,,g,,,,,,,,,active
rainier-snap-kickstand-case-iphone-17e-16e-15-14-13-black,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn11.bigcommerce.com/s-nq9mltqqlu/images/stencil/683x900/products/9003/16921/702320258__20232.1772676637.png?c=1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
rainier-snap-kickstand-case-iphone-17e-16e-15-14-13-black,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn11.bigcommerce.com/s-nq9mltqqlu/images/stencil/683x900/products/9003/15886/702320258_Rugged_Case__73151.1772676519.jpg?c=1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
